time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010444850000	10.1668	1.36073	5.17747	0.234182	0.196446	radar	4.83591	10.5377	1.72555	10.1117	1.37011	4.97074	1.20841
1477010444900000	10.3904	1.43712	5.13831	0.252713	0.206988	lidar	1.0946	10.2492	1.45907	10.3598	1.4321	4.95106	1.2701
1477010444950000	10.6195	1.51645	4.96936	0.272861	0.220631	radar	3.34845	10.9084	1.70343	10.6069	1.49721	4.93014	1.33298
1477010445000000	10.8407	1.54597	4.927	0.267965	0.201946	lidar	1.16421	10.7313	1.45265	10.853	1.56549	4.90794	1.39701
1477010445050000	11.109	1.59887	5.03708	0.26833	0.189356	radar	2.29624	11.4783	1.42876	11.0979	1.637	4.8844	1.46213
1477010445100000	11.39	1.64513	5.08865	0.264693	0.173581	lidar	2.13502	11.587	1.61462	11.3416	1.71179	4.85948	1.52832
1477010445150000	11.6199	1.70052	5.01555	0.269909	0.170036	radar	0.698703	11.4763	1.53917	11.584	1.78992	4.83313	1.59551
1477010445200000	11.8483	1.76322	4.99348	0.277304	0.168779	lidar	0.271138	11.7788	1.74591	11.8251	1.87144	4.80531	1.66366
1477010445250000	12.107	1.85421	5.12175	0.292334	0.175456	radar	1.5151	12.136	2.14937	12.0647	1.95639	4.77598	1.73273
1477010445300000	12.3506	1.88339	5.09819	0.280795	0.151388	lidar	0.681764	12.3226	1.78353	12.3029	2.04482	4.74508	1.80265
1477010445350000	12.6081	1.94653	5.18704	0.2822	0.143077	radar	0.792496	12.5457	1.77728	12.5394	2.13677	4.71257	1.87338
1477010445400000	12.8099	2.07703	5.14316	0.319867	0.179261	lidar	3.23153	12.5924	2.17509	12.7743	2.23227	4.67842	1.94485
1477010445450000	13.0799	2.1878	5.29722	0.33703	0.187198	radar	2.89972	13.2198	2.6644	13.0075	2.33137	4.64258	2.01701
1477010445500000	13.2861	2.32648	5.25849	0.373301	0.219066	lidar	2.6009	13.0875	2.40708	13.2388	2.43409	4.605	2.08981
1477010445550000	13.4616	2.46376	5.02022	0.413892	0.258173	radar	11.1895	12.7087	3.12439	13.4682	2.54047	4.56565	2.16317
1477010445600000	13.7121	2.58076	5.06234	0.430476	0.262415	lidar	0.915804	13.836	2.62479	13.6955	2.65053	4.52448	2.23703
1477010445650000	13.9317	2.69039	5.02777	0.446626	0.266644	radar	0.177981	13.8302	2.73893	13.9208	2.7643	4.48147	2.31134
1477010445700000	14.1612	2.84511	5.06527	0.478701	0.288511	lidar	0.727128	14.2106	2.94205	14.1439	2.88179	4.43656	2.38601
1477010445750000	14.4131	2.95947	5.20235	0.484019	0.274512	radar	1.31574	14.5568	2.87021	14.3646	3.00303	4.38974	2.46099
1477010445800000	14.6189	3.03098	5.12793	0.479595	0.253473	lidar	2.22127	14.4616	2.90734	14.583	3.12802	4.34097	2.5362
1477010445850000	14.8517	3.18806	5.23042	0.505146	0.266623	radar	3.57323	14.6754	3.96041	14.7989	3.25679	4.29021	2.61157
1477010445900000	15.0631	3.3814	5.26182	0.548426	0.301531	lidar	1.14924	15.0261	3.5067	15.0122	3.38932	4.23744	2.68703
1477010445950000	15.2734	3.54589	5.19011	0.579438	0.323318	radar	2.73767	15.3685	4.14761	15.2228	3.52563	4.18263	2.76249
1477010446000000	15.4888	3.73465	5.23163	0.61402	0.344689	lidar	0.641663	15.5236	3.82936	15.4306	3.66572	4.12575	2.83789
